title;total_accidents;deaths;injuries;;;;;;
CẢ NƯỚC;22067;11628;15292;;;;;;
Đường bộ;21880;11498;15255;;;;;;
Đường sắt;124;97;27;;;;;;
Đường thủy;57;31;10;;;;;;
Đường hàng hải;6;2;4587;;;;;;
Ðồng bằng sông Hồng;5205;2593;3596;;;;;;
Trung du và miền núi phía Bắc;2805;1244;2514;;;;;;
Bắc Trung Bộ và Duyên hải miền Trung;5843;2644;4463;;;;;;
Tây Nguyên;1436;959;850;;;;;;
Ðông Nam Bộ;4374;2479;2587;;;;;;
Ðồng bằng sông Cửu Long;2398;1707;1282;;;;;;
Khác;6;2;4587;;;;;;
