title;total_accidents;deaths;injuries;;;;;;
CẢ NƯỚC;11457;6397;7804;;;;;;
Đường bộ;11323;6265;7777;;;;;;
Đường sắt;95;74;21;;;;;;
Đường thủy;32;45;6;;;;;;
Đường hàng hải;7;13;0;;;;;;
Ðồng bằng sông Hồng;1862;1040;1262;;;;;;
Trung du và miền núi phía Bắc;1138;595;965;;;;;;
Bắc Trung Bộ và Duyên hải miền Trung;2521;1501;1805;;;;;;
Tây Nguyên;784;558;536;;;;;;
Ðông Nam Bộ;3587;1547;2439;;;;;;
Ðồng bằng sông Cửu Long;1558;1143;797;;;;;;
Khác;7;13;2129;;;;;;
